#    L    TT             EE             BB             TE             PP             TP             EP          
   130   0.362416E+04   0.103880E+01   0.426887E-02  -0.396356E+02   0.773627E-07   0.274477E-03  -0.812018E-06
   131   0.365784E+04   0.104287E+01   0.419842E-02  -0.400418E+02   0.768719E-07   0.271620E-03  -0.824620E-06
   132   0.369157E+04   0.104644E+01   0.412783E-02  -0.404316E+02   0.763854E-07   0.268816E-03  -0.834454E-06
   133   0.372522E+04   0.104958E+01   0.405718E-02  -0.408071E+02   0.759030E-07   0.266063E-03  -0.841708E-06
   134   0.375886E+04   0.105228E+01   0.398652E-02  -0.411639E+02   0.754247E-07   0.263359E-03  -0.846569E-06
   135   0.379248E+04   0.105448E+01   0.391589E-02  -0.415051E+02   0.749504E-07   0.260703E-03  -0.849227E-06
   136   0.382595E+04   0.105618E+01   0.384537E-02  -0.418269E+02   0.744803E-07   0.258092E-03  -0.849869E-06
   137   0.385942E+04   0.105744E+01   0.377499E-02  -0.421318E+02   0.740141E-07   0.255525E-03  -0.848684E-06
   138   0.389280E+04   0.105820E+01   0.370482E-02  -0.424181E+02   0.735519E-07   0.253000E-03  -0.845859E-06
   139   0.392595E+04   0.105861E+01   0.363491E-02  -0.426852E+02   0.730937E-07   0.250516E-03  -0.841582E-06
   140   0.395917E+04   0.105844E+01   0.356532E-02  -0.429339E+02   0.726394E-07   0.248072E-03  -0.836041E-06
   141   0.399217E+04   0.105776E+01   0.349610E-02  -0.431619E+02   0.721890E-07   0.245664E-03  -0.829425E-06
   142   0.402516E+04   0.105666E+01   0.342731E-02  -0.433702E+02   0.717424E-07   0.243293E-03  -0.821920E-06
   143   0.405808E+04   0.105513E+01   0.335900E-02  -0.435587E+02   0.712997E-07   0.240955E-03  -0.813714E-06
   144   0.409078E+04   0.105310E+01   0.329123E-02  -0.437267E+02   0.708608E-07   0.238651E-03  -0.804995E-06
   145   0.412332E+04   0.105072E+01   0.322405E-02  -0.438734E+02   0.704256E-07   0.236376E-03  -0.795950E-06
   146   0.415595E+04   0.104777E+01   0.315751E-02  -0.439991E+02   0.699943E-07   0.234132E-03  -0.786767E-06
   147   0.418821E+04   0.104446E+01   0.309168E-02  -0.441021E+02   0.695666E-07   0.231914E-03  -0.777634E-06
   148   0.422032E+04   0.104065E+01   0.302661E-02  -0.441841E+02   0.691426E-07   0.229723E-03  -0.768737E-06
   149   0.425236E+04   0.103642E+01   0.296235E-02  -0.442435E+02   0.687222E-07   0.227555E-03  -0.760265E-06
   150   0.428412E+04   0.103184E+01   0.289896E-02  -0.442782E+02   0.683055E-07   0.225410E-03  -0.752404E-06
   151   0.431573E+04   0.102683E+01   0.283648E-02  -0.442913E+02   0.678923E-07   0.223287E-03  -0.745299E-06
   152   0.434706E+04   0.102133E+01   0.277495E-02  -0.442811E+02   0.674828E-07   0.221184E-03  -0.738931E-06
   153   0.437824E+04   0.101547E+01   0.271437E-02  -0.442455E+02   0.670768E-07   0.219103E-03  -0.733237E-06
   154   0.440920E+04   0.100927E+01   0.265478E-02  -0.441867E+02   0.666742E-07   0.217042E-03  -0.728153E-06
   155   0.443995E+04   0.100271E+01   0.259618E-02  -0.441040E+02   0.662752E-07   0.215003E-03  -0.723619E-06
   156   0.447033E+04   0.995803E+00   0.253859E-02  -0.439973E+02   0.658797E-07   0.212985E-03  -0.719570E-06
   157   0.450063E+04   0.988545E+00   0.248203E-02  -0.438652E+02   0.654876E-07   0.210988E-03  -0.715946E-06
   158   0.453065E+04   0.981011E+00   0.242652E-02  -0.437084E+02   0.650988E-07   0.209013E-03  -0.712683E-06
   159   0.456036E+04   0.973050E+00   0.237208E-02  -0.435268E+02   0.647135E-07   0.207059E-03  -0.709719E-06
   160   0.458986E+04   0.964812E+00   0.231873E-02  -0.433190E+02   0.643316E-07   0.205126E-03  -0.706992E-06
   161   0.461913E+04   0.956370E+00   0.226648E-02  -0.430866E+02   0.639529E-07   0.203215E-03  -0.704440E-06
   162   0.464810E+04   0.947576E+00   0.221536E-02  -0.428293E+02   0.635776E-07   0.201326E-03  -0.702000E-06
   163   0.467692E+04   0.938504E+00   0.216537E-02  -0.425459E+02   0.632056E-07   0.199459E-03  -0.699609E-06
   164   0.470530E+04   0.929227E+00   0.211655E-02  -0.422377E+02   0.628368E-07   0.197613E-03  -0.697206E-06
   165   0.473352E+04   0.919671E+00   0.206890E-02  -0.419026E+02   0.624713E-07   0.195789E-03  -0.694729E-06
   166   0.476144E+04   0.909985E+00   0.202244E-02  -0.415419E+02   0.621089E-07   0.193987E-03  -0.692114E-06
   167   0.478914E+04   0.899946E+00   0.197720E-02  -0.411565E+02   0.617498E-07   0.192206E-03  -0.689301E-06
   168   0.481638E+04   0.889924E+00   0.193319E-02  -0.407441E+02   0.613938E-07   0.190448E-03  -0.686226E-06
   169   0.484332E+04   0.879622E+00   0.189043E-02  -0.403047E+02   0.610409E-07   0.188712E-03  -0.682827E-06
   170   0.486995E+04   0.869263E+00   0.184894E-02  -0.398397E+02   0.606911E-07   0.186998E-03  -0.679043E-06
   171   0.489613E+04   0.858847E+00   0.180873E-02  -0.393471E+02   0.603445E-07   0.185307E-03  -0.674810E-06
   172   0.492193E+04   0.848298E+00   0.176983E-02  -0.388281E+02   0.600008E-07   0.183637E-03  -0.670068E-06
   173   0.494727E+04   0.837618E+00   0.173224E-02  -0.382829E+02   0.596603E-07   0.181990E-03  -0.664753E-06
   174   0.497230E+04   0.827102E+00   0.169600E-02  -0.377114E+02   0.593227E-07   0.180366E-03  -0.658803E-06
   175   0.499695E+04   0.816453E+00   0.166112E-02  -0.371128E+02   0.589881E-07   0.178764E-03  -0.652157E-06
   176   0.502107E+04   0.805895E+00   0.162760E-02  -0.364872E+02   0.586564E-07   0.177184E-03  -0.644768E-06
   177   0.504481E+04   0.795351E+00   0.159544E-02  -0.358361E+02   0.583277E-07   0.175627E-03  -0.636653E-06
   178   0.506809E+04   0.785044E+00   0.156461E-02  -0.351579E+02   0.580019E-07   0.174091E-03  -0.627847E-06
   179   0.509091E+04   0.774676E+00   0.153508E-02  -0.344527E+02   0.576790E-07   0.172576E-03  -0.618382E-06
   180   0.511343E+04   0.764469E+00   0.150683E-02  -0.337219E+02   0.573588E-07   0.171081E-03  -0.608292E-06
   181   0.513541E+04   0.754423E+00   0.147984E-02  -0.329656E+02   0.570416E-07   0.169606E-03  -0.597611E-06
   182   0.515695E+04   0.744610E+00   0.145409E-02  -0.321823E+02   0.567270E-07   0.168151E-03  -0.586372E-06
   183   0.517796E+04   0.734957E+00   0.142955E-02  -0.313734E+02   0.564153E-07   0.166714E-03  -0.574608E-06
   184   0.519859E+04   0.725536E+00   0.140619E-02  -0.305382E+02   0.561062E-07   0.165296E-03  -0.562353E-06
   185   0.521877E+04   0.716495E+00   0.138399E-02  -0.296790E+02   0.557999E-07   0.163895E-03  -0.549640E-06
   186   0.523812E+04   0.707693E+00   0.136294E-02  -0.287928E+02   0.554962E-07   0.162511E-03  -0.536502E-06
   187   0.525733E+04   0.699269E+00   0.134299E-02  -0.278810E+02   0.551951E-07   0.161145E-03  -0.522974E-06
   188   0.527601E+04   0.691209E+00   0.132415E-02  -0.269452E+02   0.548966E-07   0.159794E-03  -0.509088E-06
   189   0.529409E+04   0.683548E+00   0.130636E-02  -0.259838E+02   0.546008E-07   0.158458E-03  -0.494879E-06
   190   0.531203E+04   0.676338E+00   0.128963E-02  -0.249992E+02   0.543074E-07   0.157138E-03  -0.480378E-06
   191   0.532907E+04   0.669600E+00   0.127391E-02  -0.239882E+02   0.540166E-07   0.155832E-03  -0.465620E-06
   192   0.534574E+04   0.663356E+00   0.125919E-02  -0.229533E+02   0.537283E-07   0.154541E-03  -0.450638E-06
   193   0.536182E+04   0.657650E+00   0.124544E-02  -0.218957E+02   0.534424E-07   0.153262E-03  -0.435465E-06
   194   0.537753E+04   0.652510E+00   0.123265E-02  -0.208134E+02   0.531589E-07   0.151996E-03  -0.420135E-06
   195   0.539265E+04   0.647974E+00   0.122078E-02  -0.197086E+02   0.528779E-07   0.150743E-03  -0.404681E-06
   196   0.540717E+04   0.644077E+00   0.120981E-02  -0.185804E+02   0.525992E-07   0.149502E-03  -0.389136E-06
   197   0.542126E+04   0.640863E+00   0.119971E-02  -0.174305E+02   0.523228E-07   0.148271E-03  -0.373535E-06
   198   0.543483E+04   0.638354E+00   0.119048E-02  -0.162579E+02   0.520488E-07   0.147052E-03  -0.357909E-06
   199   0.544788E+04   0.636586E+00   0.118207E-02  -0.150636E+02   0.517770E-07   0.145843E-03  -0.342293E-06
   200   0.546042E+04   0.635588E+00   0.117447E-02  -0.138483E+02   0.515075E-07   0.144643E-03  -0.326720E-06
   201   0.547238E+04   0.635419E+00   0.116765E-02  -0.126111E+02   0.512402E-07   0.143452E-03  -0.311217E-06
   202   0.548382E+04   0.636085E+00   0.116160E-02  -0.113536E+02   0.509752E-07   0.142271E-03  -0.295790E-06
   203   0.549467E+04   0.637645E+00   0.115627E-02  -0.100750E+02   0.507123E-07   0.141098E-03  -0.280439E-06
   204   0.550486E+04   0.640120E+00   0.115166E-02  -0.877831E+01   0.504516E-07   0.139935E-03  -0.265164E-06
   205   0.551454E+04   0.643554E+00   0.114774E-02  -0.746125E+01   0.501930E-07   0.138780E-03  -0.249964E-06
