#    L    TT             EE             TE             PP             TP          
   293   0.419236E+04   0.767442E+01   0.113334E+03   0.156468E+07   0.111934E+04
   294   0.415995E+04   0.783990E+01   0.113911E+03   0.155848E+07   0.110950E+04
   295   0.412762E+04   0.800610E+01   0.114444E+03   0.155232E+07   0.109972E+04
   296   0.409499E+04   0.817450E+01   0.114948E+03   0.154619E+07   0.109001E+04
   297   0.406229E+04   0.834287E+01   0.115423E+03   0.154011E+07   0.108037E+04
   298   0.402936E+04   0.851346E+01   0.115854E+03   0.153405E+07   0.107078E+04
   299   0.399644E+04   0.868551E+01   0.116249E+03   0.152804E+07   0.106127E+04
   300   0.396337E+04   0.885754E+01   0.116607E+03   0.152206E+07   0.105181E+04
   301   0.393023E+04   0.903103E+01   0.116936E+03   0.151611E+07   0.104242E+04
   302   0.389709E+04   0.920525E+01   0.117236E+03   0.151021E+07   0.103309E+04
   303   0.386388E+04   0.938093E+01   0.117492E+03   0.150433E+07   0.102382E+04
   304   0.383059E+04   0.955809E+01   0.117704E+03   0.149849E+07   0.101461E+04
   305   0.379730E+04   0.973523E+01   0.117887E+03   0.149269E+07   0.100547E+04
   306   0.376394E+04   0.991311E+01   0.118034E+03   0.148692E+07   0.996382E+03
   307   0.373058E+04   0.100917E+02   0.118136E+03   0.148118E+07   0.987360E+03
   308   0.369722E+04   0.102725E+02   0.118217E+03   0.147547E+07   0.978400E+03
   309   0.366394E+04   0.104526E+02   0.118247E+03   0.146980E+07   0.969503E+03
   310   0.363058E+04   0.106327E+02   0.118247E+03   0.146417E+07   0.960667E+03
   311   0.359729E+04   0.108150E+02   0.118203E+03   0.145856E+07   0.951894E+03
   312   0.356408E+04   0.109965E+02   0.118130E+03   0.145299E+07   0.943182E+03
   313   0.353087E+04   0.111788E+02   0.118014E+03   0.144745E+07   0.934534E+03
   314   0.349773E+04   0.113618E+02   0.117867E+03   0.144195E+07   0.925947E+03
   315   0.346467E+04   0.115441E+02   0.117677E+03   0.143647E+07   0.917424E+03
   316   0.343167E+04   0.117271E+02   0.117450E+03   0.143103E+07   0.908962E+03
   317   0.339875E+04   0.119094E+02   0.117187E+03   0.142561E+07   0.900564E+03
   318   0.336591E+04   0.120932E+02   0.116887E+03   0.142023E+07   0.892228E+03
   319   0.333321E+04   0.122762E+02   0.116550E+03   0.141488E+07   0.883955E+03
   320   0.330065E+04   0.124593E+02   0.116184E+03   0.140956E+07   0.875744E+03
