#    L    TT             EE             BB             TE          
   230   0.554734E+04   0.117026E+01   0.161023E-01   0.303329E+02
   231   0.554100E+04   0.121081E+01   0.162497E-01   0.319610E+02
   232   0.553414E+04   0.125310E+01   0.163974E-01   0.335925E+02
   233   0.552670E+04   0.129736E+01   0.165453E-01   0.352259E+02
   234   0.551851E+04   0.134343E+01   0.166934E-01   0.368620E+02
   235   0.550981E+04   0.139139E+01   0.168417E-01   0.384992E+02
   236   0.550045E+04   0.144123E+01   0.169902E-01   0.401376E+02
   237   0.549050E+04   0.149304E+01   0.171390E-01   0.417758E+02
   238   0.547996E+04   0.154687E+01   0.172878E-01   0.434136E+02
   239   0.546890E+04   0.160259E+01   0.174368E-01   0.450505E+02
   240   0.545711E+04   0.166027E+01   0.175859E-01   0.466842E+02
   241   0.544487E+04   0.172005E+01   0.177352E-01   0.483154E+02
   242   0.543205E+04   0.178178E+01   0.178845E-01   0.499434E+02
   243   0.541863E+04   0.184561E+01   0.180338E-01   0.515667E+02
   244   0.540463E+04   0.191147E+01   0.181832E-01   0.531862E+02
   245   0.539004E+04   0.197942E+01   0.183326E-01   0.547988E+02
   246   0.537493E+04   0.204947E+01   0.184820E-01   0.564060E+02
   247   0.535930E+04   0.212153E+01   0.186314E-01   0.580057E+02
   248   0.534308E+04   0.219599E+01   0.187808E-01   0.595978E+02
   249   0.532643E+04   0.227232E+01   0.189300E-01   0.611816E+02
   250   0.530918E+04   0.235096E+01   0.190792E-01   0.627556E+02
   251   0.529149E+04   0.243161E+01   0.192284E-01   0.643207E+02
   252   0.527313E+04   0.251450E+01   0.193773E-01   0.658753E+02
   253   0.525449E+04   0.259941E+01   0.195262E-01   0.674179E+02
   254   0.523525E+04   0.268663E+01   0.196749E-01   0.689486E+02
   255   0.521549E+04   0.277586E+01   0.198234E-01   0.704674E+02
   256   0.519530E+04   0.286748E+01   0.199717E-01   0.719743E+02
   257   0.517466E+04   0.296104E+01   0.201198E-01   0.734612E+02
   258   0.515351E+04   0.305691E+01   0.202677E-01   0.749407E+02
   259   0.513192E+04   0.315494E+01   0.204153E-01   0.763980E+02
   260   0.510996E+04   0.325514E+01   0.205626E-01   0.778479E+02
   261   0.508748E+04   0.335743E+01   0.207097E-01   0.792681E+02
   262   0.506449E+04   0.346204E+01   0.208565E-01   0.806811E+02
   263   0.504136E+04   0.356873E+01   0.210030E-01   0.820793E+02
   264   0.501763E+04   0.367758E+01   0.211491E-01   0.834553E+02
   265   0.499339E+04   0.378853E+01   0.212949E-01   0.848018E+02
   266   0.496886E+04   0.390179E+01   0.214403E-01   0.861411E+02
   267   0.494381E+04   0.401699E+01   0.215854E-01   0.874508E+02
   268   0.491840E+04   0.413451E+01   0.217300E-01   0.887459E+02
   269   0.489247E+04   0.425404E+01   0.218743E-01   0.900189E+02
   270   0.486633E+04   0.437566E+01   0.220182E-01   0.912699E+02
   271   0.483974E+04   0.449930E+01   0.221616E-01   0.924989E+02
   272   0.481294E+04   0.462526E+01   0.223046E-01   0.936985E+02
   273   0.478570E+04   0.475293E+01   0.224472E-01   0.948835E+02
   274   0.475816E+04   0.488292E+01   0.225893E-01   0.960317E+02
   275   0.473026E+04   0.501471E+01   0.227309E-01   0.971654E+02
   276   0.470214E+04   0.514851E+01   0.228721E-01   0.982623E+02
   277   0.467358E+04   0.528433E+01   0.230128E-01   0.993448E+02
   278   0.464480E+04   0.542209E+01   0.231529E-01   0.100391E+03
   279   0.461573E+04   0.556173E+01   0.232926E-01   0.101407E+03
   280   0.458637E+04   0.570323E+01   0.234317E-01   0.102409E+03
   281   0.455687E+04   0.584668E+01   0.235704E-01   0.103374E+03
   282   0.452693E+04   0.599178E+01   0.237085E-01   0.104310E+03
   283   0.449684E+04   0.613875E+01   0.238460E-01   0.105217E+03
   284   0.446653E+04   0.628752E+01   0.239831E-01   0.106095E+03
   285   0.443601E+04   0.643809E+01   0.241195E-01   0.106944E+03
   286   0.440520E+04   0.659030E+01   0.242554E-01   0.107756E+03
   287   0.437417E+04   0.674417E+01   0.243908E-01   0.108546E+03
   288   0.434299E+04   0.689968E+01   0.245256E-01   0.109300E+03
   289   0.431160E+04   0.705677E+01   0.246598E-01   0.110025E+03
   290   0.428007E+04   0.721529E+01   0.247934E-01   0.110720E+03
   291   0.424839E+04   0.737598E+01   0.249264E-01   0.111372E+03
   292   0.421627E+04   0.753773E+01   0.250589E-01   0.112002E+03
   293   0.418431E+04   0.770017E+01   0.251907E-01   0.112588E+03
   294   0.415205E+04   0.786478E+01   0.253220E-01   0.113153E+03
   295   0.411987E+04   0.803007E+01   0.254526E-01   0.113674E+03
   296   0.408741E+04   0.819754E+01   0.255827E-01   0.114166E+03
   297   0.405487E+04   0.836496E+01   0.257121E-01   0.114629E+03
   298   0.402211E+04   0.853455E+01   0.258409E-01   0.115048E+03
   299   0.398936E+04   0.870558E+01   0.259691E-01   0.115431E+03
   300   0.395647E+04   0.887655E+01   0.260966E-01   0.115778E+03
   301   0.392351E+04   0.904896E+01   0.262235E-01   0.116096E+03
   302   0.389055E+04   0.922206E+01   0.263498E-01   0.116385E+03
   303   0.385753E+04   0.939659E+01   0.264755E-01   0.116631E+03
   304   0.382443E+04   0.957257E+01   0.266005E-01   0.116832E+03
   305   0.379134E+04   0.974850E+01   0.267249E-01   0.117005E+03
   306   0.375818E+04   0.992513E+01   0.268486E-01   0.117142E+03
   307   0.372502E+04   0.101025E+02   0.269717E-01   0.117234E+03
   308   0.369186E+04   0.102820E+02   0.270942E-01   0.117306E+03
   309   0.365879E+04   0.104607E+02   0.272160E-01   0.117326E+03
   310   0.362564E+04   0.106394E+02   0.273372E-01   0.117318E+03
   311   0.359257E+04   0.108203E+02   0.274577E-01   0.117265E+03
   312   0.355957E+04   0.110004E+02   0.275775E-01   0.117184E+03
   313   0.352658E+04   0.111813E+02   0.276968E-01   0.117059E+03
   314   0.349366E+04   0.113628E+02   0.278153E-01   0.116906E+03
   315   0.346082E+04   0.115436E+02   0.279333E-01   0.116708E+03
   316   0.342806E+04   0.117251E+02   0.280506E-01   0.116474E+03
   317   0.339537E+04   0.119058E+02   0.281672E-01   0.116204E+03
   318   0.336276E+04   0.120880E+02   0.282832E-01   0.115898E+03
   319   0.333029E+04   0.122694E+02   0.283986E-01   0.115555E+03
   320   0.329798E+04   0.124508E+02   0.285133E-01   0.115184E+03
   321   0.326574E+04   0.126330E+02   0.286274E-01   0.114769E+03
   322   0.323365E+04   0.128136E+02   0.287409E-01   0.114317E+03
   323   0.320170E+04   0.129942E+02   0.288538E-01   0.113829E+03
   324   0.316991E+04   0.131756E+02   0.289660E-01   0.113297E+03
   325   0.313833E+04   0.133540E+02   0.290776E-01   0.112744E+03
   326   0.310683E+04   0.135339E+02   0.291887E-01   0.112140E+03
   327   0.307555E+04   0.137130E+02   0.292991E-01   0.111507E+03
   328   0.304450E+04   0.138906E+02   0.294090E-01   0.110844E+03
   329   0.301359E+04   0.140682E+02   0.295183E-01   0.110138E+03
   330   0.298289E+04   0.142444E+02   0.296270E-01   0.109396E+03
   331   0.295250E+04   0.144198E+02   0.297352E-01   0.108625E+03
   332   0.292225E+04   0.145952E+02   0.298429E-01   0.107825E+03
   333   0.289221E+04   0.147692E+02   0.299500E-01   0.106988E+03
   334   0.286248E+04   0.149424E+02   0.300565E-01   0.106115E+03
   335   0.283288E+04   0.151134E+02   0.301626E-01   0.105206E+03
