#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   132   0.368929E+04  -0.403306E+02   0.268816E-03  -0.403306E+02   0.103839E+01  -0.834544E-06   0.268816E-03  -0.834544E-06   0.763854E-07
   133   0.372306E+04  -0.407101E+02   0.266063E-03  -0.407101E+02   0.104161E+01  -0.841834E-06   0.266063E-03  -0.841834E-06   0.759030E-07
   134   0.375681E+04  -0.410708E+02   0.263359E-03  -0.410708E+02   0.104440E+01  -0.846725E-06   0.263359E-03  -0.846725E-06   0.754246E-07
   135   0.379054E+04  -0.414159E+02   0.260702E-03  -0.414159E+02   0.104669E+01  -0.849407E-06   0.260702E-03  -0.849407E-06   0.749504E-07
   136   0.382412E+04  -0.417416E+02   0.258091E-03  -0.417416E+02   0.104847E+01  -0.850067E-06   0.258091E-03  -0.850067E-06   0.744802E-07
   137   0.385768E+04  -0.420502E+02   0.255524E-03  -0.420502E+02   0.104982E+01  -0.848894E-06   0.255524E-03  -0.848894E-06   0.740140E-07
   138   0.389115E+04  -0.423402E+02   0.252999E-03  -0.423402E+02   0.105068E+01  -0.846075E-06   0.252999E-03  -0.846075E-06   0.735519E-07
   139   0.392440E+04  -0.426110E+02   0.250515E-03  -0.426110E+02   0.105118E+01  -0.841799E-06   0.250515E-03  -0.841799E-06   0.730936E-07
   140   0.395771E+04  -0.428633E+02   0.248070E-03  -0.428633E+02   0.105110E+01  -0.836254E-06   0.248070E-03  -0.836254E-06   0.726393E-07
   141   0.399078E+04  -0.430950E+02   0.245663E-03  -0.430950E+02   0.105053E+01  -0.829628E-06   0.245663E-03  -0.829628E-06   0.721889E-07
   142   0.402386E+04  -0.433067E+02   0.243292E-03  -0.433067E+02   0.104952E+01  -0.822110E-06   0.243292E-03  -0.822110E-06   0.717424E-07
   143   0.405685E+04  -0.434986E+02   0.240955E-03  -0.434986E+02   0.104809E+01  -0.813887E-06   0.240955E-03  -0.813887E-06   0.712997E-07
   144   0.408961E+04  -0.436699E+02   0.238650E-03  -0.436699E+02   0.104616E+01  -0.805147E-06   0.238650E-03  -0.805147E-06   0.708608E-07
   145   0.412223E+04  -0.438200E+02   0.236376E-03  -0.438200E+02   0.104388E+01  -0.796080E-06   0.236376E-03  -0.796080E-06   0.704256E-07
   146   0.415491E+04  -0.439489E+02   0.234131E-03  -0.439489E+02   0.104103E+01  -0.786872E-06   0.234131E-03  -0.786872E-06   0.699942E-07
   147   0.418723E+04  -0.440551E+02   0.231914E-03  -0.440551E+02   0.103783E+01  -0.777712E-06   0.231914E-03  -0.777712E-06   0.695665E-07
   148   0.421940E+04  -0.441401E+02   0.229722E-03  -0.441401E+02   0.103412E+01  -0.768789E-06   0.229722E-03  -0.768789E-06   0.691426E-07
   149   0.425149E+04  -0.442025E+02   0.227555E-03  -0.442025E+02   0.102999E+01  -0.760290E-06   0.227555E-03  -0.760290E-06   0.687222E-07
   150   0.428330E+04  -0.442402E+02   0.225410E-03  -0.442402E+02   0.102552E+01  -0.752404E-06   0.225410E-03  -0.752404E-06   0.683055E-07
   151   0.431496E+04  -0.442560E+02   0.223287E-03  -0.442560E+02   0.102062E+01  -0.745276E-06   0.223287E-03  -0.745276E-06   0.678923E-07
   152   0.434632E+04  -0.442486E+02   0.221184E-03  -0.442486E+02   0.101522E+01  -0.738887E-06   0.221184E-03  -0.738887E-06   0.674828E-07
   153   0.437754E+04  -0.442157E+02   0.219103E-03  -0.442157E+02   0.100947E+01  -0.733174E-06   0.219103E-03  -0.733174E-06   0.670767E-07
   154   0.440854E+04  -0.441595E+02   0.217042E-03  -0.441595E+02   0.100337E+01  -0.728075E-06   0.217042E-03  -0.728075E-06   0.666742E-07
   155   0.443932E+04  -0.440793E+02   0.215003E-03  -0.440793E+02   0.996919E+00  -0.723526E-06   0.215003E-03  -0.723526E-06   0.662752E-07
   156   0.446973E+04  -0.439750E+02   0.212985E-03  -0.439750E+02   0.990119E+00  -0.719467E-06   0.212985E-03  -0.719467E-06   0.658796E-07
   157   0.450006E+04  -0.438452E+02   0.210988E-03  -0.438452E+02   0.982967E+00  -0.715833E-06   0.210988E-03  -0.715833E-06   0.654875E-07
   158   0.453010E+04  -0.436907E+02   0.209013E-03  -0.436907E+02   0.975538E+00  -0.712563E-06   0.209013E-03  -0.712563E-06   0.650988E-07
   159   0.455984E+04  -0.435113E+02   0.207059E-03  -0.435113E+02   0.967684E+00  -0.709595E-06   0.207059E-03  -0.709595E-06   0.647134E-07
   160   0.458936E+04  -0.433056E+02   0.205126E-03  -0.433056E+02   0.959551E+00  -0.706866E-06   0.205126E-03  -0.706866E-06   0.643315E-07
   161   0.461865E+04  -0.430752E+02   0.203216E-03  -0.430752E+02   0.951214E+00  -0.704313E-06   0.203216E-03  -0.704313E-06   0.639528E-07
   162   0.464763E+04  -0.428199E+02   0.201326E-03  -0.428199E+02   0.942525E+00  -0.701874E-06   0.201326E-03  -0.701874E-06   0.635775E-07
   163   0.467647E+04  -0.425383E+02   0.199459E-03  -0.425383E+02   0.933557E+00  -0.699487E-06   0.199459E-03  -0.699487E-06   0.632055E-07
   164   0.470486E+04  -0.422319E+02   0.197613E-03  -0.422319E+02   0.924384E+00  -0.697090E-06   0.197613E-03  -0.697090E-06   0.628367E-07
   165   0.473309E+04  -0.418984E+02   0.195789E-03  -0.418984E+02   0.914932E+00  -0.694619E-06   0.195789E-03  -0.694619E-06   0.624712E-07
   166   0.476102E+04  -0.415394E+02   0.193987E-03  -0.415394E+02   0.905348E+00  -0.692013E-06   0.193987E-03  -0.692013E-06   0.621088E-07
   167   0.478872E+04  -0.411555E+02   0.192207E-03  -0.411555E+02   0.895411E+00  -0.689208E-06   0.192207E-03  -0.689208E-06   0.617497E-07
   168   0.481597E+04  -0.407446E+02   0.190448E-03  -0.407446E+02   0.885490E+00  -0.686144E-06   0.190448E-03  -0.686144E-06   0.613937E-07
   169   0.484291E+04  -0.403066E+02   0.188712E-03  -0.403066E+02   0.875288E+00  -0.682756E-06   0.188712E-03  -0.682756E-06   0.610408E-07
   170   0.486954E+04  -0.398429E+02   0.186998E-03  -0.398429E+02   0.865028E+00  -0.678983E-06   0.186998E-03  -0.678983E-06   0.606911E-07
   171   0.489572E+04  -0.393515E+02   0.185307E-03  -0.393515E+02   0.854710E+00  -0.674763E-06   0.185307E-03  -0.674763E-06   0.603444E-07
   172   0.492152E+04  -0.388337E+02   0.183638E-03  -0.388337E+02   0.844258E+00  -0.670033E-06   0.183638E-03  -0.670033E-06   0.600008E-07
   173   0.494686E+04  -0.382895E+02   0.181991E-03  -0.382895E+02   0.833673E+00  -0.664730E-06   0.181991E-03  -0.664730E-06   0.596602E-07
   174   0.497189E+04  -0.377190E+02   0.180366E-03  -0.377190E+02   0.823252E+00  -0.658792E-06   0.180366E-03  -0.658792E-06   0.593227E-07
   175   0.499654E+04  -0.371214E+02   0.178764E-03  -0.371214E+02   0.812697E+00  -0.652157E-06   0.178764E-03  -0.652157E-06   0.589881E-07
   176   0.502065E+04  -0.364966E+02   0.177184E-03  -0.364966E+02   0.802229E+00  -0.644778E-06   0.177184E-03  -0.644778E-06   0.586564E-07
   177   0.504438E+04  -0.358463E+02   0.175627E-03  -0.358463E+02   0.791776E+00  -0.636672E-06   0.175627E-03  -0.636672E-06   0.583277E-07
